,id,station,date,prcp,tobs
0,0,USC00519397,2010-01-01,0.08,65
1,1,USC00519397,2010-01-02,0.0,63
2,2,USC00519397,2010-01-03,0.0,74
3,3,USC00519397,2010-01-04,0.0,76
4,4,USC00519397,2010-01-06,0.0,73
5,5,USC00519397,2010-01-07,0.06,70
6,6,USC00519397,2010-01-08,0.0,64
7,7,USC00519397,2010-01-09,0.0,68
8,8,USC00519397,2010-01-10,0.0,73
9,9,USC00519397,2010-01-11,0.01,64
10,10,USC00519397,2010-01-12,0.0,61
11,11,USC00519397,2010-01-14,0.0,66
12,12,USC00519397,2010-01-15,0.0,65
13,13,USC00519397,2010-01-16,0.0,68
14,14,USC00519397,2010-01-17,0.0,64
15,15,USC00519397,2010-01-18,0.0,72
16,16,USC00519397,2010-01-19,0.0,66
17,17,USC00519397,2010-01-20,0.0,66
18,18,USC00519397,2010-01-21,0.0,69
19,19,USC00519397,2010-01-22,0.0,67
20,20,USC00519397,2010-01-23,0.0,67
21,21,USC00519397,2010-01-24,0.01,71
22,22,USC00519397,2010-01-25,0.0,67
23,23,USC00519397,2010-01-26,0.04,76
24,24,USC00519397,2010-01-27,0.12,68
25,25,USC00519397,2010-01-28,0.0,72
26,26,USC00519397,2010-01-30,0.0,70
27,27,USC00519397,2010-01-31,0.03,67
28,28,USC00519397,2010-02-01,0.01,66
29,29,USC00519397,2010-02-03,0.0,67
30,30,USC00519397,2010-02-04,0.01,69
31,31,USC00519397,2010-02-05,0.0,67
32,32,USC00519397,2010-02-06,0.0,67
33,33,USC00519397,2010-02-07,0.0,64
34,34,USC00519397,2010-02-08,0.0,69
35,35,USC00519397,2010-02-09,0.0,73
36,36,USC00519397,2010-02-11,0.0,73
37,37,USC00519397,2010-02-12,0.02,69
38,38,USC00519397,2010-02-13,0.01,69
39,39,USC00519397,2010-02-14,0.0,69
40,40,USC00519397,2010-02-15,0.0,71
41,41,USC00519397,2010-02-16,0.0,61
42,42,USC00519397,2010-02-17,0.0,69
43,43,USC00519397,2010-02-19,0.0,63
44,44,USC00519397,2010-02-20,0.03,64
45,45,USC00519397,2010-02-21,0.0,65
